accuracy,loss,val_accuracy,val_loss,learning_rate
0.30519479513168335,2.0853431224823,0.24025973677635193,2.2927329540252686,0.0010000000474974513
0.5665584206581116,1.480412483215332,0.1818181872367859,2.2075486183166504,0.0010000000474974513
0.7142857313156128,1.074568271636963,0.19480518996715546,2.2920145988464355,0.0010000000474974513
0.7581169009208679,0.8632346987724304,0.24025973677635193,2.399914264678955,0.0010000000474974513
0.8441558480262756,0.5854905843734741,0.3246753215789795,2.197052478790283,0.0010000000474974513
0.8701298832893372,0.45489463210105896,0.4025973975658417,2.2224788665771484,0.0010000000474974513
0.8782467246055603,0.4519652724266052,0.5779221057891846,1.480155348777771,0.0010000000474974513
0.8685064911842346,0.4310612976551056,0.31168830394744873,2.0706839561462402,0.0010000000474974513
0.8766233921051025,0.39848992228507996,0.5714285969734192,1.2332097291946411,0.0010000000474974513
0.9042207598686218,0.3596695065498352,0.4025973975658417,2.0027530193328857,0.0010000000474974513
0.9090909361839294,0.3117063343524933,0.6298701167106628,1.2108508348464966,0.0010000000474974513
0.9253246784210205,0.23584751784801483,0.5584415793418884,1.5435941219329834,0.0010000000474974513
0.9545454382896423,0.17001879215240479,0.6688311696052551,1.069308876991272,0.0010000000474974513
0.9318181872367859,0.24449841678142548,0.5714285969734192,1.249597191810608,0.0010000000474974513
0.9220778942108154,0.27694079279899597,0.5649350881576538,1.4050288200378418,0.0010000000474974513
0.9366883039474487,0.21805857121944427,0.6558441519737244,1.2125916481018066,0.0010000000474974513
0.9659090638160706,0.12498963624238968,0.6688311696052551,0.9730648398399353,0.0010000000474974513
0.975649356842041,0.1095118448138237,0.6688311696052551,1.3631240129470825,0.0010000000474974513
0.9383116960525513,0.230574369430542,0.5,2.142599105834961,0.0010000000474974513
0.9123376607894897,0.35607099533081055,0.48051947355270386,1.937765121459961,0.0010000000474974513
0.923701286315918,0.26329949498176575,0.551948070526123,1.6347905397415161,0.0010000000474974513
0.948051929473877,0.1692357212305069,0.6818181872367859,1.0120903253555298,0.0010000000474974513
0.948051929473877,0.16495175659656525,0.7727272510528564,0.8672148585319519,0.0010000000474974513
0.9691558480262756,0.11474543809890747,0.8766233921051025,0.37104707956314087,0.0010000000474974513
0.9675324559211731,0.09061430394649506,0.9415584206581116,0.1977328509092331,0.0010000000474974513
0.9821428656578064,0.08341818302869797,0.8246753215789795,0.6863475441932678,0.0010000000474974513
0.9870129823684692,0.053745463490486145,0.9220778942108154,0.29288387298583984,0.0010000000474974513
0.9853895902633667,0.04994812607765198,0.9740259647369385,0.09168824553489685,0.0010000000474974513
0.9918830990791321,0.03834282606840134,0.9740259647369385,0.11530064046382904,0.0010000000474974513
0.9918830990791321,0.03798524662852287,0.9610389471054077,0.10885969549417496,0.0010000000474974513
0.9935064911842346,0.03051006607711315,0.9675324559211731,0.10137004405260086,0.0010000000474974513
